---
Mod (Link) |Description |Downloads |Latest Supported Version
**[Jackson Lambert's Money Mod](https://www.curseforge.com/minecraft/mc-mods/jackson-lamberts-money-mod)**|A mod for Minecraft Fabric adding money.|12|1.16-Snapshot
**[Jankson](https://www.curseforge.com/minecraft/mc-mods/jankson)**|Jankson bindings for Fabric|503|1.14.3
**[Japanese localization patch](https://www.curseforge.com/minecraft/mc-mods/japanese-localization-patch)**|Fabric 1.14 MOD Japanese localization|133|1.14
**[JARM: Fabric edition](https://www.curseforge.com/minecraft/mc-mods/jarm-fabric-edition)**|JARM entirly recoded and remade for fabric|190|1.16.1
**[JavaDungeons](https://www.curseforge.com/minecraft/mc-mods/javadungeons)**|JavaDungeons is a mod that adds blocks from MC: Dungeons into Minecraft.|12,532|1.16.1
**[Jeff Azure's Hardstone Mod](https://www.curseforge.com/minecraft/mc-mods/jeff-azures-hardstone-mod)**|Adds a dyable cuttable block with -1 hardness and a number of features that build off it and then off each other.|144|1.14.4
**[JLine for Dedicated Server](https://www.curseforge.com/minecraft/mc-mods/jline-for-minecraft-dedicated-server)**|Enables command history, auto completion and syntax highlighting on the server console.|36|1.16.1
**[JMX](https://www.curseforge.com/minecraft/mc-mods/jmx)**|JSON Model Extensions for Fabric|2,446|1.16.2
**[Join Messages](https://www.curseforge.com/minecraft/mc-mods/join-messages)**|Sends a configurable message/command when a player joins the server|30|1.16.2
**[Jumpless Step](https://www.curseforge.com/minecraft/mc-mods/jumpless-step)**|Step over 1 block height without jumping ! [FABRIC] |588|1.16.1
**[Jumploader](https://www.curseforge.com/minecraft/mc-mods/jumploader)**|Use Fabric mods in Twitch modpacks!|72,429|1.16.2
**[JumpOverFences](https://www.curseforge.com/minecraft/mc-mods/jumpoverfences)**|This mod allows the player to jump over fences and walls.|46,305|1.16.2
**[Just Another Redstone Gate Mod](https://www.curseforge.com/minecraft/mc-mods/just-another-redstone-gate-mod)**|Adds some Redstone gates|6,678|1.16.2
**[Just enough money](https://www.curseforge.com/minecraft/mc-mods/just-enough-money)**|A mod that adds money|5|1.16.1
**[Just Map](https://www.curseforge.com/minecraft/mc-mods/just-map)**|A minimap mod with additional information for Minecraft with Fabric launcher.|38,891|1.16.2
**[Just Map Unlimited](https://www.curseforge.com/minecraft/mc-mods/just-map-unlimited)**|The Just Map mod version with all feauteres unlocked.|2,717|1.16.2
**[Just Pipes](https://www.curseforge.com/minecraft/mc-mods/just-pipes)**|Simple fluid transport and storage|798|1.14.3
**[Just Sleep](https://www.curseforge.com/minecraft/mc-mods/just-sleep)**|Just sleep allows you to sleep in other beds without setting your spawn location.|534,866|1.14.4
**[Karam](https://www.curseforge.com/minecraft/mc-mods/karam)**|Adds a bunch of useless and useful things|63|1.16.2
**[kayak](https://www.curseforge.com/minecraft/mc-mods/kayak)**|A minecraft mod that adds some boat related stuff.|11,429|1.16-Snapshot
**[keepinventory-command](https://www.curseforge.com/minecraft/mc-mods/keepinventory-command)**|Adds a /keepinventory command which allows per-player keepinventory|420|1.16.2
**[KEssential-Fabric](https://www.curseforge.com/minecraft/mc-mods/kessential-fabric)**|An essential mod for Fabric API, providing Bukkit's Essential-like commands with vanilla taste.|23|1.15.2
**[Kevlar](https://www.curseforge.com/minecraft/mc-mods/kevlar)**|An early-to-mid-game tech mod for Fabric|129|1.15.2
**[Kibe](https://www.curseforge.com/minecraft/mc-mods/kibe)**|A miscellaneous mod for Minecraft that adds a bunch of random, and mostly unoriginal things.|57,335|1.16.2
**[Kitty Camp](https://www.curseforge.com/minecraft/mc-mods/kitty-camp)**|A lightweight mod for smores!|30|1.16.1
**[Knit](https://www.curseforge.com/minecraft/mc-mods/knit)**|A basic library mod for Lomeli's Fabric mods.|245|1.14-Snapshot
**[Koi [Fabric]](https://www.curseforge.com/minecraft/mc-mods/koi)**|Koi|1,813|1.16.1
**[Kotlin Extensions [Fabric]](https://www.curseforge.com/minecraft/mc-mods/kotlin-extensions-fabric)**|Kotlin Extensions for various Minecraft classes|0|1.16-Snapshot
**[KronHUD](https://www.curseforge.com/minecraft/mc-mods/kronhud)**|A HUD mod for Minecraft. Modules include: Keystrokes, CPS, FPS, ping, armor, arrows, and potions.|455|1.16.2
**[KubeJS Fabric](https://www.curseforge.com/minecraft/mc-mods/kubejs-fabric)**|The Fabric port for KubeJS|32,468|1.16.2
**[Lacrimis](https://www.curseforge.com/minecraft/mc-mods/lacrimis)**|The tears that fall from Crying Obsidian are magical|4,548|1.16.1
**[Ladder API](https://www.curseforge.com/minecraft/mc-mods/ladder-api)**|Ladder API for fabric|2,173|1.14.4
**[LadderWarp](https://www.curseforge.com/minecraft/mc-mods/ladderwarp)**|Instantly warp up and down climbable blocks with just a right-click.|580|1.16.1
**[Lakeside](https://www.curseforge.com/minecraft/mc-mods/lakeside)**|A revamp for Minecraft's lakes.|12,004|1.16.1
**[LaLega Sushi](https://www.curseforge.com/minecraft/mc-mods/lalega-sushi)**|All you can eat Sushi in Minecraft|732|1.15.2
**[LambdaBetterGrass](https://www.curseforge.com/minecraft/mc-mods/lambdabettergrass)**|Adds actual better grass to the game.|49|1.16.2
**[LambdaControls](https://www.curseforge.com/minecraft/mc-mods/lambdacontrols)**|Adds better controls: controller support.|14,266|1.16.2
**[LambDynamicLights](https://www.curseforge.com/minecraft/mc-mods/lambdynamiclights)**|A dynamic lights mod for Fabric.|24,459|1.16.2
**[LAN / Publish Overhaul](https://www.curseforge.com/minecraft/mc-mods/lan-publish-overhaul)**|Play with your friends in your SinglePlayer worlds with this mod!|144|1.16.1
**[LAN Deauth](https://www.curseforge.com/minecraft/mc-mods/lan-deauth)**|Should fix (almost) all of your offline LAN issues|662|1.14.4
**[Landmark](https://www.curseforge.com/minecraft/mc-mods/landmark)**|Give Meaning to Exploration|3,996|1.16.2
**[LanOps](https://www.curseforge.com/minecraft/mc-mods/lanops)**|Pick and choose who can cheat on your lan game|145|1.14.4
**[Lapis Reserve](https://www.curseforge.com/minecraft/mc-mods/lapis-reserve)**|Lapis stays in Enchanting table|2,317|1.16.2
**[Large Enchants](https://www.curseforge.com/minecraft/mc-mods/large-enchants)**|Allows you to enchant items up to level 2147483647|489|1.15.2
**[Large Fluid Tank](https://www.curseforge.com/minecraft/mc-mods/largefluidtank)**|Max 1048576000mB per a tank|1,595,060|1.16.2
**[Launchers](https://www.curseforge.com/minecraft/mc-mods/launchers)**|Introduces a fast exploding-piston player launcher|696|1.15.2
**[Lava Fishing](https://www.curseforge.com/minecraft/mc-mods/lava-fishing)**|A mod that lets you fish in lava!|260|1.16.1
**[LayingBox](https://www.curseforge.com/minecraft/mc-mods/layingbox)**|Chicken Breeding and Resource Management|4,102|1.16.1
**[LayingBox Vanilla Chicken Expansion](https://www.curseforge.com/minecraft/mc-mods/layingbox-vanilla-chicken-expansion)**|Expansion pack for LayingBox to add Vanilla resource chickens|2,486|1.16.1
**[Lead Villagers (Fabric)](https://www.curseforge.com/minecraft/mc-mods/lead-villagers)**|*Lead* your villagers to work.|19,878|1.16.1
**[Leadable Pandas](https://www.curseforge.com/minecraft/mc-mods/leadable-pandas)**|Transport your pandas minecraft efficiently.|57|1.16.2
**[Leaf Decay](https://www.curseforge.com/minecraft/mc-mods/leaf-decay)**|Simple mod for quick leaf decay!|33,787|1.16.2
**[Leaf Me Alone](https://www.curseforge.com/minecraft/mc-mods/leaf-me-alone)**|Makes leaves decay when not attached to their own log|4,971|1.16.1
**[Leather Blocks](https://www.curseforge.com/minecraft/mc-mods/leather-blocks)**|Adds a dyeable leather block to the game.|66|1.15.2
**[Leather Cows (Fabric)](https://www.curseforge.com/minecraft/mc-mods/leather-cows-fabric)**|Cows that poop leather|1,538|1.14.1
**[Legacy Brigadier](https://www.curseforge.com/minecraft/mc-mods/legacy-brigadier)**|Adds Brigadier to b1.7.3|2|1.0.0
**[Legacy Combat](https://www.curseforge.com/minecraft/mc-mods/legacy-combat)**|Swing your weapons with pride no more cooldowns for you just like the times of ancient MC|963|1.14-Snapshot
**[Legacy Fabric-Api](https://www.curseforge.com/minecraft/mc-mods/legacy-fabric-api)**|The legacy fabric version of the fabric api|92|1.8.9
**[Lengthy Ladders](https://www.curseforge.com/minecraft/mc-mods/lengthy-ladders)**|Allows building ladders really high with no support|73|1.16.2
**[Less Greedy Piglins](https://www.curseforge.com/minecraft/mc-mods/less-greedy-piglins)**|remove cheesy piglin barter farms|0|1.16.2
**[Let Them Eat](https://www.curseforge.com/minecraft/mc-mods/let-them-eat)**|Lets dispensers feed animals.|28|1.16.2
**[Lettuce Not Crash](https://www.curseforge.com/minecraft/mc-mods/lettuce-not-crash)**|Why crash when ticking when you can not?|1,056|1.14.4
**[Level Up HP (Fabric)](https://www.curseforge.com/minecraft/mc-mods/level-up-hp)**|Gain hearts of health by killing mobs or consuming heart containers.|276,933|1.15.2
**[Lib Block Attributes](https://www.curseforge.com/minecraft/mc-mods/libblockattributes)**|Pure library mod: used by other mods to allow for exchanging items and fluids between blocks.|27,944|1.16.2
**[Lib Data Potential (LibDP)](https://www.curseforge.com/minecraft/mc-mods/libdp)**|Unleashing the potential of data packs|8|1.16.2
**[Lib Multipart](https://www.curseforge.com/minecraft/mc-mods/lib-multipart)**|A Multipart API for fabric, used by SimplePipes and (soon) buildcraft.|8,282|1.16-Snapshot
**[Lib Network Stack](https://www.curseforge.com/minecraft/mc-mods/lib-network-stack)**|Pure library mod: used by other mods (namely LibMultiPart and thus SimplePipes)|7,625|1.16-Snapshot
**[LibCapableData (LibCD)](https://www.curseforge.com/minecraft/mc-mods/libcd)**|Improved data processing for Fabric and 1.14|29,650|1.16.2
**[LibGamerule](https://www.curseforge.com/minecraft/mc-mods/libgamerule)**|A library mod to add gamerules|12,247|1.16.1
**[LibGui](https://www.curseforge.com/minecraft/mc-mods/libgui)**|Easier GUIs for Fabric and Minecraft 1.14|8,930|1.16-Snapshot
**[Library of Exile](https://www.curseforge.com/minecraft/mc-mods/library-of-exile)**|Library mod that allows all my Exile related mods to connect.|23,891|1.16.2
**[Lid Space](https://www.curseforge.com/minecraft/mc-mods/lid-space)**|Fixes chests opening in situations where they shouldn't.|98|1.15.2
**[Light Block - Fabric](https://www.curseforge.com/minecraft/mc-mods/light-block-fabric)**|Implements the Light Block from Bedrock into Fabric|236|1.16.2
**[Light Overlay (Rift/Forge/Fabric)](https://www.curseforge.com/minecraft/mc-mods/light-overlay)**|A simple mod to provide users with NEI-like light level overlay.|2,350,705|1.16.2
**[LightLevel](https://www.curseforge.com/minecraft/mc-mods/lightlevel)**|LightLevel adds a toggleable overlay that displays information about the the light level reaching blocks with a solid top in a 16-block radius. |4,814|1.16.2
**[Lil Tater Reloaded](https://www.curseforge.com/minecraft/mc-mods/lil-tater-reloaded)**|LTR aims to automate a number of tasks that previously would be difficult, boring, or...|9,695|1.16.2
**[lil' Tater](https://www.curseforge.com/minecraft/mc-mods/lil-tater)**|lil' Tater|6,163|1.15.2
**[limitless](https://www.curseforge.com/minecraft/mc-mods/limitless)**|a mod that increases the enchantment limit to 2147483647|1,155|1.16.2
**[Linkart: Fabric](https://www.curseforge.com/minecraft/mc-mods/linkart)**|Reliable, fancy cart linking!|50,068|1.16.2
**[Linked Storage](https://www.curseforge.com/minecraft/mc-mods/linked-storage)**|Linkable storages!|67,804|1.16.2
**[Lint](https://www.curseforge.com/minecraft/mc-mods/lint)**|An accumulation of cool survival features improving the experience|412|1.15.2
**[Lite Conversion](https://www.curseforge.com/minecraft/mc-mods/lite-conversion)**|Single-use Items that allow for Equivalent Exchange|2,345|1.15.2
**[Litematica](https://www.curseforge.com/minecraft/mc-mods/litematica)**|A modern schematic mod written for LiteLoader / Rift / Fabric, with some extra helper functionality for Creative mode|353,463|1.16.2
**[Literally Chunk Loader](https://www.curseforge.com/minecraft/mc-mods/literally-chunk-loader)**|An actual Chunk Loader|107|1.15.2
**[Lithium (Fabric)](https://www.curseforge.com/minecraft/mc-mods/lithium)**|An optimization mod for Minecraft which improves server performance significantly|200,388|1.16.2
**[Little Rocket Man](https://www.curseforge.com/minecraft/mc-mods/little-rocket-man)**|Send the garden gnome into space.|216|1.15.2
**[Llama Steeds](https://www.curseforge.com/minecraft/mc-mods/llama-steeds)**|Mount your llama and ride into the sunset. |8,380|1.16.2
**[Loading Spice](https://www.curseforge.com/minecraft/mc-mods/loading-spice)**|Spice up those bland loading screens!|618|1.14-Snapshot
**[Locky](https://www.curseforge.com/minecraft/mc-mods/locky)**|Lock things up, hassle-free|1,992|1.14.3
**[Logical Recipes](https://www.curseforge.com/minecraft/mc-mods/logical-recipes)**|Changes several recipes to give more logical outputs|205|1.15.2
**[Logical Zoom](https://www.curseforge.com/minecraft/mc-mods/logical-zoom)**|Super simple zoom key for Minecraft 1.16|19,627|1.16.2
**[Lonsdaleite Tools (& Omnitool)](https://www.curseforge.com/minecraft/mc-mods/lonsdaleite)**|Adds a Lonsdaleite tier to Minecraft (Fabric) (1.16)|85|1.16-Snapshot
**[LookTheStuff](https://www.curseforge.com/minecraft/mc-mods/lookthestuff)**|LookTheStuff is a Minecraft 1.15.2 mod which adds 3 new ores, more than 15 tools and weapons and much more !|187|1.15.2
**[Loose Trigger](https://www.curseforge.com/minecraft/mc-mods/loose-trigger)**|Adds a quicker way to call /trigger commands|0|1.16.2
**[Lootstrap](https://www.curseforge.com/minecraft/mc-mods/lootstrap)**|Allows a player to recieve loot when they join the server.|6,769|1.16.1
**[Low Fire](https://www.curseforge.com/minecraft/mc-mods/low-fire)**|Make the frst-person fire overlay less obtrusive by lowering its height on screen.|28|1.16.2
**[lOwOcalizatiωn](https://www.curseforge.com/minecraft/mc-mods/l12n)**|OwO?|562|1.16.2
**[Luminiferous Uplands](https://www.curseforge.com/minecraft/mc-mods/luminiferous-uplands)**|A modern take on the Skylands!|1,173|1.15.2
**[Magic Mirror [FABRIC]](https://www.curseforge.com/minecraft/mc-mods/magic-mirror-fabric)**|A magic mirror which lets you TP home|434|1.16.2
**[Magma Opus](https://www.curseforge.com/minecraft/mc-mods/magma-opus)**|Allows you to create anything gathered from the Nether without ever having to go there.|548|1.15.2
**[Magnet for Fabric](https://www.curseforge.com/minecraft/mc-mods/magnet-for-fabric)**|A simple magnet for fabric 1.16/1.15! Continuation of the FabricMagnet mod by TheRealp455w0rd|200|1.16.2
**[Make Minecraft Hard Again](https://www.curseforge.com/minecraft/mc-mods/make-minecraft-hard-again)**|Make Minecraft Hard Again is a mod that tries to fix some unbalanced features of vanilla and adds new features such as rock knapping.|85|1.16.1
**[Makkit](https://www.curseforge.com/minecraft/mc-mods/makkit)**|An intuitive world editor for creative mode!|1,013|1.16.2
**[MaLiLib](https://www.curseforge.com/minecraft/mc-mods/malilib)**|A library mod required for masa's client-side mods|441,168|1.16.2
**[MAmbience](https://www.curseforge.com/minecraft/mc-mods/mambience)**|Adding ambient sounds to Minecraft|77,532|1.16.2
**[ManyMods](https://www.curseforge.com/minecraft/mc-mods/manymods)**|This is mod which combines many other mods into a single JAR file.|158|1.16.2
**[Map Tooltip](https://www.curseforge.com/minecraft/mc-mods/map-tooltip)**|View maps from your inventory|695|1.16.1
**[Mapmaker's Bridge](https://www.curseforge.com/minecraft/mc-mods/mcfunction-bridge)**|A mod for connecting your editor to minecraft for automatic datapack reload.|13|1.16-Snapshot
**[Marine Stuffs](https://www.curseforge.com/minecraft/mc-mods/mstuffs)**|A mod inspiring life in the water|38|1.16.1
**[MaskOfLoki's Fabric Tweaks](https://www.curseforge.com/minecraft/mc-mods/maskoflokis-fabric-tweaks)**|A collection of tweaks and additions to vanilla minecraft that don't require the client to be modded when used on a server|113|1.14.1
**[Material Tooltip](https://www.curseforge.com/minecraft/mc-mods/material-tooltip)**|A simple mod that adds tooltip if item can be used in recipes|401|1.14-Snapshot
**[Materialisation](https://www.curseforge.com/minecraft/mc-mods/materialisation)**|Customise your tools like Tinker's Construct for Fabric 1.14.x.|34,116|1.16.2
**[MatterLink](https://www.curseforge.com/minecraft/mc-mods/matterlink)**|Simple bridge between Minecraft, Mattermost, IRC, XMPP, Gitter, Slack, Discord, Telegram, Rocket.Chat, Hipchat(via xmpp), Matrix and Steam.|5,906|1.15.2
**[Mattocks: BYG Bridge](https://www.curseforge.com/minecraft/mc-mods/mattocks-byg-bridge)**|The first addon for Mattocks!|231|1.16.2
**[Mattocks: Paxels but Fabric!](https://www.curseforge.com/minecraft/mc-mods/mattocks-paxels-but-fabric)**|Paxels for Fabric, branded with a new name!|3,728|1.16.2
**[MaxVar reap ](https://www.curseforge.com/minecraft/mc-mods/maxvar-reap-for-fabric)**|reap for fabric - right-click on a fully grown plant to harvest and reseed|1,721|1.16.1
**[MC API](https://www.curseforge.com/minecraft/mc-mods/mc-api)**|Exposes a REST API to interact with the Minecraft Client (1.14-1.16)|2|1.16.1
**[MC Client Tweaks](https://www.curseforge.com/minecraft/mc-mods/mc-client-tweaks)**|Adds usefull client side only features to Minecraft|40|1.15.2
**[MC Dungeons Weapons](https://www.curseforge.com/minecraft/mc-mods/mcdw)**|Bringing the weapons and tools of Minecraft Dungeons to Minecraft|80|1.16.2
**[MC Plug-n-Play](https://www.curseforge.com/minecraft/mc-mods/mcpnp)**|MCPNP adds auto port forwarding for LAN worlds|2,064|1.16.1
**[MC-144761 Fix](https://www.curseforge.com/minecraft/mc-mods/mc-144761-fix)**|Fixes MC-144761|9|1.16.1
**[MCG](https://www.curseforge.com/minecraft/mc-mods/mcg)**|Stores all of your coordinates in a simple-to-read format!|122|1.16.2
**[Meal API](https://www.curseforge.com/minecraft/mc-mods/meal-api)**|An API to add more filling foods to the game.|1|1.16.2
**[Mechanized Steam Power](https://www.curseforge.com/minecraft/mc-mods/mechanized-steam-power)**|Use pressurized steam to power machines, tools and armor.|7,437|1.16.1
**[Melon Slabs](https://www.curseforge.com/minecraft/mc-mods/melon-slabs)**|Adds a long-awaited feature.|261|1.16.2
**[Mend Trend - Make Mending available](https://www.curseforge.com/minecraft/mc-mods/mend-trend)**|Allows the Mending Enchantment at enchantment tables.|1,213|1.14.2
**[MetaTips](https://www.curseforge.com/minecraft/mc-mods/metatips)**|See what's up with your items|4,462|1.15.1
**[Mighty Mangoes](https://www.curseforge.com/minecraft/mc-mods/mighty-mangoes)**|Adds mangoes that can be obtained from jungle trees!|370|1.16.2
**[Minalchemy](https://www.curseforge.com/minecraft/mc-mods/minalchemy)**|A mod inspired by Little Alchemy mobile games|306|1.14.4
**[Mineable Infested Blocks](https://www.curseforge.com/minecraft/mc-mods/mineable-infested-blocks)**|A simple mod that makes infested blocks mineable with a silk touch pick.|52|1.15.2
**[MineAmp](https://www.curseforge.com/minecraft/mc-mods/mineamp)**|Minecraft mp3/ogg/wav/m4a/flac player|33,212|1.14.1
**[Minecord](https://www.curseforge.com/minecraft/mc-mods/minecord)**|A Minecraft Integration of Discord's Activity System|9,310|1.16-Snapshot
**[MinecraftCapes Mod](https://www.curseforge.com/minecraft/mc-mods/minecraftcapes-mod)**|Minecon Capes anyone with the mod can see|107,886|1.16.2
**[Miner's Horizon](https://www.curseforge.com/minecraft/mc-mods/miners-horizon)**|Miner's Horizon adds a new customizable mining dimension to the game.|9,049|1.14.2
**[Mineral Collector](https://www.curseforge.com/minecraft/mc-mods/mineral-collector)**|A passive resource generation mod.|820|1.14.3
**[Minesave](https://www.curseforge.com/minecraft/mc-mods/minesave)**|Save your Minecraft worlds to the Cloud!|176|1.16.1
**[MiniHUD](https://www.curseforge.com/minecraft/mc-mods/minihud)**|A "mini F3" HUD mod, with light level, spawn & slime chunk overlays etc.|129,979|1.16.2
**[Minimal Menu](https://www.curseforge.com/minecraft/mc-mods/minimal-menu)**|Minimal Menu is a small client side mod that allows the user independently toggle main buttons on the title screen and options screens.|31|1.16.2
**[MiniMOTD-Fabric](https://www.curseforge.com/minecraft/mc-mods/minimotd-fabric)**|MiniMOTD-Fabric is a server-side mod utilizing MiniMessage to allow for Hex colors, Gradients, and more in the server list MotD|26|1.16.2
**[MiniShield](https://www.curseforge.com/minecraft/mc-mods/minishield)**|Makes the shield size adjustable.|214|1.14.4
**[MissingBits](https://www.curseforge.com/minecraft/mc-mods/missingbits)**|Shows if something is missing or if a mod was updated or removed|10,246|1.16.1
**[Mixed Slab](https://www.curseforge.com/minecraft/mc-mods/mixed-slab)**|Double Slabs Port|1,558|1.16.1
**[ML3API](https://www.curseforge.com/minecraft/mc-mods/ml3api)**|Simple API for mod development|261|1.15.2
**[Mo Glass](https://www.curseforge.com/minecraft/mc-mods/mo-glass)**|Adds glass stairs and glass slabs to Minecraft.|66,127|1.16.2
**[Mo' Structures](https://www.curseforge.com/minecraft/mc-mods/mo-structures)**|Mo' Structures is  a structures mod with loot & spawners in some structures, to increase the RPG aspect of Minecraft.|66,513|1.16.2
**[Mob Controls [Fabric]](https://www.curseforge.com/minecraft/mc-mods/fabric-mob-controls)**|Nametags effect mob properties|177|1.15.1
**[Mob farm nerfer](https://www.curseforge.com/minecraft/mc-mods/mob-farm-nerfer)**|This mod nerfs mob farms by eliminating Xp from them|151|1.16.1
**[Mob Grinder Fabric](https://www.curseforge.com/minecraft/mc-mods/mob-grinder-fabric)**|A mob grinder, without the mobs|6,651|1.16-Snapshot
**[Mob Rebirth](https://www.curseforge.com/minecraft/mc-mods/mob-rebirth)**|This is a mod that allows things to be reborn. Very configurable.|91,257|1.15.2
**[Mob Ropes](https://www.curseforge.com/minecraft/mc-mods/mob-ropes)**|Capture mobs with special ropes for easy transportation!|7,635|1.15.2
**[mob.jar](https://www.curseforge.com/minecraft/mc-mods/mob-jar)**|a jar for mob|2,497|1.16-Snapshot
**[MobCapped](https://www.curseforge.com/minecraft/mc-mods/mobcapped)**|Mob cap control in Fabric|64|1.16.1
**[MobCountMod](https://www.curseforge.com/minecraft/mc-mods/mobcountmod)**|Counts entities in a region around you|775|1.16.2
**[Mobs Attempt Parkour](https://www.curseforge.com/minecraft/mc-mods/mobs-attempt-parkour)**|Gives certain vanilla mobs the ability to jump over things|1,365|1.16.2
**[MobZ](https://www.curseforge.com/minecraft/mc-mods/mobz)**|More vanilla style mobs|32,556|1.16.1
**[Mod Menu](https://www.curseforge.com/minecraft/mc-mods/modmenu)**|Adds a mod menu to view the list of mods you have installed.|842,318|1.16.2
**[Modded Items](https://www.curseforge.com/minecraft/mc-mods/modded-items)**|Modded Items is a mod for fabric that adds a creative tab that contains all the modded items in the game|2,089|1.15-Snapshot
**[Modded Tool Tips](https://www.curseforge.com/minecraft/mc-mods/modded-tool-tips)**|Simple mod to display the mod an item came from in it's tool tip|3,282|1.15-Snapshot
**[Models Unlocked](https://www.curseforge.com/minecraft/mc-mods/models-unlocked)**|Adds resource pack model support for more blocks.|408|1.16.1
**[Modern Glass Doors](https://www.curseforge.com/minecraft/mc-mods/modern-glass-doors)**|Adds prettier glass doors|102,452|1.16.2
**[Modern Industrialization](https://www.curseforge.com/minecraft/mc-mods/modern-industrialization)**|A modern tech mod.|261|1.16.2
**[Modpack Menu](https://www.curseforge.com/minecraft/mc-mods/modpack-menu)**|A Fabric 1.15 Menu Tweaker Mod|1,999|1.16-Snapshot
**[Mods of the World (Fabric)](https://www.curseforge.com/minecraft/mc-mods/modsoftheworld)**|A mod to end all title screen rebrandings and resulting conflicts. Can also give quick views into what mods are in a modpack.|1,433|1.16.2
**[ModsMod](https://www.curseforge.com/minecraft/mc-mods/modsmod)**|A mod that dynamiclly generates a number of empty mods|6|1.16.2
**[Modular Item Frame [FABRIC]](https://www.curseforge.com/minecraft/mc-mods/modular-item-frame-fabric)**|All the utility in one frame.|20|1.16.2
**[ModUpdater](https://www.curseforge.com/minecraft/mc-mods/modupdater)**|A simple Minecraft mod updater.|2,854|1.16.2
**[Monetary Solutions](https://www.curseforge.com/minecraft/mc-mods/monetary-solutions)**|Simple currency API for Fabric|5|1.16.2
**[monkeys mod](https://www.curseforge.com/minecraft/mc-mods/monkeys-mod)**|a mod made by a monkey|177|1.15-Snapshot
**[monopoly](https://www.curseforge.com/minecraft/mc-mods/monopoly)**|Unify dropped items. Make one type of copper the only type you can get.|91|1.16.2
**[Mooblooms](https://www.curseforge.com/minecraft/mc-mods/mooblooms)**|A mod adding colorful and flowery cows. Moo!|20,760|1.16.1
**[More Berries](https://www.curseforge.com/minecraft/mc-mods/more-berries)**|Adds berry bushes to fabric|76,571|1.16.1
**[More Chains](https://www.curseforge.com/minecraft/mc-mods/more-chains)**|Adds more chain variants + sideways chains for the 1.16.1 version!|207|1.16.2
**[More Curios Totems of Undying](https://www.curseforge.com/minecraft/mc-mods/more-curios-totems-of-undying)**|This mod makes it so More Totems of Undying are Curios Compatible!|126|1.16.2
**[More Enchantments](https://www.curseforge.com/minecraft/mc-mods/fabric-more-enchantments)**|Adds a few enchantment for tools|64,652|1.16.2
**[More Fences Fabric](https://www.curseforge.com/minecraft/mc-mods/more-fences)**|adds more fences and walls|23|1.16.2
**[More Gems [FABRIC]](https://www.curseforge.com/minecraft/mc-mods/more-gems-fabric)**|Adds (10) balanced armor, tools, & weapons|16,579|1.16.2
**[More Layers](https://www.curseforge.com/minecraft/mc-mods/more-layers)**|Adds a few decorative layers for landscaping|13,730|1.15.2
**[More Minerals Mod](https://www.curseforge.com/minecraft/mc-mods/more-minerals-mod)**|This mod adds more minerals such as rubies and copper into the game.|46|1.16.1
**[More Paths](https://www.curseforge.com/minecraft/mc-mods/more-paths)**|Adds nylium, podzol, and mycelium paths!|45,280|1.16.2
**[More Toolbars](https://www.curseforge.com/minecraft/mc-mods/more-toolbars)**|Fabric mod which adds 18 more toolbars!|20|1.15.2
**[More Totems Of Undying](https://www.curseforge.com/minecraft/mc-mods/more-totems-of-undying)**|A mod that adds new mob-inspired totems to Minecraft 1.15.2 (Fabric)|15,374|1.16.2
**[More Vanilla Potions](https://www.curseforge.com/minecraft/mc-mods/more-potions)**|Makes (almost) all the vanilla potion effects brewable.|3,617|1.16.1
**[MoreFlowerPots (FABRIC)](https://www.curseforge.com/minecraft/mc-mods/moreflowerpots-fabric)**|Adds 34 new types of Flower Pots|0|1.16.1
**[MoreSlime](https://www.curseforge.com/minecraft/mc-mods/moreslime)**|Add more slime to the game|124|1.16.1
**[motioNO](https://www.curseforge.com/minecraft/mc-mods/motiono)**|Stops Minecraft from changing the FoV when running, using potions and bows, etc.|2,248|1.16.1
**[MounderTweaks](https://www.curseforge.com/minecraft/mc-mods/moundertweaks)**|A bunch of vanilla-style tweaks and changes to Minecraft 1.16.2, with the help of the Fabric Loader.|47|1.16.2
**[Mouse Wheelie (Fabric)](https://www.curseforge.com/minecraft/mc-mods/mouse-wheelie)**|A small clientside mod featureing item scrolling, inventory sorting, slot refilling and more!|160,096|1.16.2
**[Mpcs's Backpacks](https://www.curseforge.com/minecraft/mc-mods/mpcs-backpacks)**|Portable storage for all your minecraft needs!|17,365|1.15.2
**[Mubble](https://www.curseforge.com/minecraft/mc-mods/mubble)**|Expand your world with features from the Nintendo universe, and way more. (Mario, Undertale...)|878|1.16.2
**[Muffle](https://www.curseforge.com/minecraft/mc-mods/muffle)**|Adds a Sound Muffler, which muffles nearby sounds. Duh.|507|1.16.2
**[Multarum Ore](https://www.curseforge.com/minecraft/mc-mods/multarumore)**|The ore of many!|13|1.15.2
**[MultiBlock API](https://www.curseforge.com/minecraft/mc-mods/multiblock-api)**|A simple API for compatibility with MultiBlocks similar to Doors and Beds|525|1.14.3
**[multiconnect](https://www.curseforge.com/minecraft/mc-mods/multiconnect)**|A clientside mod which allows you to connect to different Minecraft server versions|3,183|1.16.2
**[Mumble Link (Fabric)](https://www.curseforge.com/minecraft/mc-mods/mumble-link-fabric)**|Provides position data to the Mumble Link plugin|4,136|1.16.2
